('Th', 'Qh') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
('Th', 'Qc') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
('Td', 'Qs') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
('Td', 'Qh') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
('Td', 'Qc') [3, [7, 7, 12, 12, 11]] [3, [10, 10, 12, 12, 9]]
('Js', 'Ks') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Js', 'Kh') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Js', 'Kd') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Js', 'Kc') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Jh', 'Ks') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Jh', 'Kh') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Jh', 'Kd') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Jh', 'Kc') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Jc', 'Ks') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Jc', 'Kh') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Jc', 'Kd') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
('Jc', 'Kc') [3, [7, 7, 11, 11, 13]] [5, [13, 12, 11, 10, 9]]
127 / 990

